,,,,,,"교황 -> 교주
신 -> 태양
상호작용 -> 기도/연설
(이벤트 아님)",,,"*수정*
교황 -> 교주
교황청(장소), 대성당 -> 대신전
교황청(단체) -> 교단
상호작용 -> 기도/연설
신 -> 태양",,,,,,,,,,,,,,,,,,
32002,22,스토리,INF,20,21,,1,이교도와 성전,"대신전 폭탄 테러 미수 사건으로 썬ㅡ클라베는 큰 혼란에 휩싸였다.
이교도들의 교주는, 해당 폭탄테러는 교단과 관계없다며 빠르게 사과의 사절을 보내 왔다.
강경파인 (후보 1)은(는) 이백 년 동안의 평화를 끝내고 성전을 일으킬 것을 건의하는 반면,
신중파인 (후보 3)은(는) 교주와의 회담에 응하고 외교에서 유리한 위치를 점할 것을 주장한다.
누구를 견제할지는 당신의 손에 달렸다!

퀘스트 : 지지하지 않는 후보를 탈락시킨 후 지지하는 후보를 당선시키세요.
성공 시 다른 엔딩을 볼 수 있습니다.",(후보 1)을(를) 지지한다.,,,"당신은 (후보 1)의 지지자를 자처하며, 성전을 일으킬 것을 천명하였다.
태양의 앞길을 막은 자들은 모두 태양에 의해 불살라질 것이다!

경건함 10 감소!
연설 시마다 (후보 1)의 정치력 5 증가!

퀘스트 : (후보 3)을(를) 탈락시킨 후 (후보 1)을(를) 당선시키세요.
성공 시 다른 엔딩을 볼 수 있습니다.","경건함 10 감소
연설 시 후보 1 정치력 5 증가
후보 3이 탈락한 상태에서 후보 1 당선 시 ""성전"" 엔딩",,,(후보 3)을(를) 지지한다!,,"태양은 모두를 굽어살피는 평화의 상징이다. 낡은 시대의 과오를 반복할 수는 없다.
당신은 (후보 3)의 지지자를 자처하며, 성전을 막을 것을 선언하였다.

정치력 10 증가!
연설 시마다 (후보 3)의 정치력 5 증가!

퀘스트 : (후보 1)을(를) 탈락시킨 후 (후보 3)을(를) 당선시키세요.
성공 시 다른 엔딩을 볼 수 있습니다.","정치력 10 증가
연설 시 후보 3 정치력 5 증가
후보 1이 탈락한 상태에서 후보 3 당선 시 ""외교 승리"" 엔딩",,,,,,"연설지속효과x, 엔딩x 효과문구 재검토필요",
40000,23,일반,20,,,,,산책,"새들은 지저귀고, 꽃들은 피어나고... 산책 나가기 딱 좋은 날이다.
그런데 잠깐! 개울을 넘기 위해 징검다리로 가니 한 남자가 화들짝 놀라며 급하게 자리를 떴다!
쭈그려 앉아 무언가를 하던데... 과연 건너는게 맞을까?","흠... 아무리 봐도 수상하다.
주위를  살피며 조심히 돌아서 가자.",경건함 50 이상,100%,"오늘도 무사히 산책을 마쳤다.
이 또한 태양신의 은혜겠지요.

체력 15 증가!
경건함 5 증가!","체력 + 15
경건함 + 5",-,-,"돌다리는 나약한 자나 두들겨 보는 것이다.
그냥 가자.",100%,"미끄덩... 첨벙!
이런, 원치 않은 반신욕 덕에 몸이 무거워졌다.

체력 10 감소!
이번 썬ㅡ클라베 종료까지 이동 속도 15% 감소!","체력 - 10
콘클라베 종료까지 이동 속도 - 15%",,,,,,,
50000,24,공작,20,,,,3,열렬한 찬양,"(후보 n)이(가) 오늘부로 당신을 향한 지지를 철회했다.
애초에 지지를 하긴 했었냐는 나쁜 말을 한 추기경은 곧 사라졌다. 실로 기적이었다.
아무튼 (후보 n)은(는) 당신과의 지지 관계에서 벗어나 한 몸으로 일체가 되길 원한다!",이게 대체 무슨 일이람!,-,100%,"""세상에 70억명의 팬이 있다면....""
영문 모를 소리에 멍해진 당신은 어느새 (후보 n)와(과) 악수를 하고 있었다.
추기경들의 박수 소리가 들린다. 당신의 명망이 더욱 높아졌다!

경건함 30 증가!",경건함 +30,,,,,,,,,,,,,
50100,25,공작,20,,,,3,커피 회동,"(후보 n)이(가) 커피를 대접해준다하자, 당신은 기쁜 마음으로 이를 받아들였다.
기쁜 마음은 오래 가지 못했다. (후보 n)이(가) 넘어지며 주인 잃은 커피가 당신을 덮쳐 왔기 때문이다!
비상하는 커피 사이로 스치듯 올라가는 입꼬리를 보았지만..., 지금은 먼저 피할 때다. ",피하자!,-,50%,"저런, 커피에 온 신경을 집중한 나머지 옆에 기둥이 있는 지도 몰랐다.
꽝! 잠시 정신이 아득해졌다.

5초간 행동 불가!",행동 불가 5초,"앗, 뜨거! 결국 피하지 못하고 커피를 뒤집어썼다.

체력 25 감소!",체력 - 25,,,,,,,,,,성공률처리x,기둥 로직 삭제.
40100,26,일반,20,,,,,소똥구리 토론,"추기경들이 옹기종기 앉아 소똥구리 한마리를 관찰하고 있다.
""그러고 보니, 이 벌레가 똥을 굴리는 모양새가 태양의 운행과 퍽 닮지 않았소이까?""
추기경들은 돌아가며 자신의 의견을 말했고, 이제 당신의 차례다!",신님이 당신의 모습을 본 떠 인간을 빚었듯 태양의 불변함을 이 미물에 담은 것이다.,경건함 40 이상,100%,"당신이 주장은 투구를 쓴 모 추기경에게 큰 지지를 받았다. 
""요 신성한 벌레의 이름을 태양충으로 바꿉시다! 태양 만세!""

체력 10 증가!
정치력 10 증가!","체력 + 10
정치력 + 10",,,으디서 그런 수천 년 전 이교도가 할 법한 소리를!,100%,"이교! 척결!
오늘도 당신의 손으로 '신앙의 순수함'을 지켜냈다.

경건함 30 증가!",경건함 + 30,,,,,,,
50200,27,공작,0.2P,,,,3,목 좀 축이세요,"(후보 n)를 지지하는 추기경이 나에게 주스 한 잔을 권한다. 마침 목이 너무 말랐는데!
싱그러운 과일 향이 나는 진짜 과일 주스다! 게임 개발자의 양심을 걸고 독약 같은 건 절대 아니다.",주스를 마신다.,-,남은 시간이 40초 이하면 성공,"푸룬 주스였다! 당신은 뱃속이 심상치 않음을 느낀다.
남은 일을 최대한 해치우고 화장실에 가기 위한 투지가 불타오른다!

체력 20 감소!
이동 속도 2배 증가!","체력 -20
이동 속도 +100%","푸룬 주스였다! 당신은 뱃속이 심상치 않음을 느끼고 화장실로 직행한다.
아무튼 거짓말은 하지 않았다.

이번 썬ㅡ클라베 즉시 종료!
체력 10 증가!","체력 + 10
콘클라베 즉시 종료, 교주 판정으로 직행",,,,,,,,,,,
40200,28,일반,20,,,,,고장난 문,"여느 때와 같이 복도를 거닐던 당신, 발을 동동 구르는 한 수행원과 마주쳤다.
보아하니 여기 문이 고장 난 거 같은데... 힘 좀 보태 줄까?",젖 먹던 힘을 다해 당기자!,체력 60 이상,100%,"역시 몸이 좋으면 머리가 고생을 안 한다.

체력 5 증가!
정치력 15 감소!","체력 + 5
정치력 - 15",,,"힘이 부족하다.
다른 수단을 찾아봐야 할 듯 한데....",50%,"문이 열렸다. 씨름한 보람이 있네!

정치력 5 감소!",정치력 - 5,"꿈쩍도 안 하네. 괜히 시간만 버렸다.

6초간 행동 불가!",행동 불가 6초,,,,,
50300,29,공작,10+0.1P,,,,3,심도 있는 논의,"토론이 한창 진행되던 중, (후보 n)에게서 곤란한 질문이 날아왔다.
""과거 장기자랑에서 문워크를 추셨는데, 이거 뭡니까? 혹시 달 추종자세요?""",아니요. 그런 게 아니라....,-,100%,"궁지에 몰린 당신! 그때 당신을 위해 몇몇 추기경이 나섰다!
그야말로 '신들린' 세이브였다!

정치력 15 증가",정치력 +15,,,,,,,,,,,,,
40300,30,일반,20,,,,3,까마귀 소동,"(후보 n)이 선물을 보내왔다. 안에 든 것은 반짝이는 목걸이였다.
그런데 그 때...! 왠 미친 까마귀 떼가 당신을 향해 날아오는 것을 발견했다!",훠이 훠이! 물렀거라!,-,65%,"까악 까악! 까마귀들은 한바탕 난동을 피운 뒤 저 멀리 날아갔다.
가방 안이 영 허전해 보이는데....

수중에 있는 모든 아이템 소멸!",모든 아이템 소멸,"까악! 당신은 까마귀들을 쥐어박고 내쫓았다. 방금이 마지막 놈이었다.
하얗게 불태웠어....

체력 30 감소!",체력 - 30,,,,,,,,,,,
50400,31,공작,20,,,,3,삼위일체,"(후보 n)과(와)의 딱밤 내기에서 패배했다. 손 푸는 꼴을 보아하니 어지간히도 벼르고 있었나 보다....
""부자는 망해도 3 대를 버틴다는데, 어디 후보님은 몇 대까지 버티시나 볼까요?""",악! 악! 악!,-,100%,"푸쉬이이.... 이마에 삼위일체가 시뻘겋게 수놓였다.
태양의 신실한 종 다운 트리플 혹이었다.

체력 33 감소!
정치력 3 증가!
경건함 3 증가!","체력 - 33
정치력 + 3
경건함 + 3",,,,,,,,,,,,,
40400,32,일반,20,,,,,호우주의보,"추적추적.... 창밖을 보니 비가 내리고 있다.
빗소리가 은은하게 울려 퍼지는 대신전은 어느 때보다 고요했다.",눈을 감고 빗소리를 듣자.,-,100%,"몸과 마음이 치유되는 느낌이다.

모든 후보의 체력 20 증가!
이번 썬ㅡ클라베 종료까지 이동 속도 10% 증가!","모든 후보의 체력 + 20
콘클라베 종료까지 이동 속도 + 10%",,,,,,,,,,,,,
40500,33,일반,20,,,,,주화입마,"아침부터 어떤 생각이 당신을 괴롭히고, 또 시시각각 마음을 조여오고 있다.
'...집에 가스 불 끄고 왔었나?'
이 불안감을 해소하기 전까진 아무것도 할 수 없을 것 같다!",집으로 수행원을 보낸다.,정치력 40 이상,80%,"진짜 불이 켜져 있었다!
휴, 하마터면 집 통째로 태양께 봉헌할 뻔했네.

정치력 15 감소!
경건함 10 감소!","정치력 - 15
경건함 - 10","걱정은 기우였다.
무안해진 당신은 다음에 수행원에게 밥 한 끼 사주리라 다짐했다!

아무 일도 일어나지 않았다.",-,"뭐 손 쓸 수단이 없다.
이 일을 마치고 빨리 가보는 수밖에.",80%,"와장창!
집중력이 흐트러진 나머지 실수를 해버렸다!

이번 썬ㅡ클라베에서 기도/연설 시간 대폭 증가!",기도/연설 이후 남은 시간 5초 추가 감소,"어지러웠지만 신심으로 마음을 가라앉혔다.
당신의 정신력은 많은 추기경들의 귀감이 되었다!

정치력 5 증가!",정치력 + 5,,,,시간관련구현필요,
40600,34,일반,20,,,,,운수 좋은 날,"늦은 오후, 봉사를 마치고 돌아오는 길.
저 멀리서 해가 지고 있다.",너무 피곤하다.... 잠시 쉬다 가자.,체력 25 이하 ,100%,"네잎 클로버를 발견했다. 인생지사 새옹지마라 했던가.
무엇이든 해낼 수 있을 것 같은 기분이 든다!

체력 40 증가!
다음 기도/연설 시 무조건 성공!","체력 + 40
다음 기도/연설 시 무조건 성공",,,자리를 뜬다.,100%,"대신전에 도착했다!

아무 일도 일어나지 않았다.",-,,,,,,성공처리 구현x,
40700,35,일반,20,,,,,묵주닦이,"진흙같은 어두운 밤, 당신의 귓가에서 괴이한 소리가 울린다.
아늑하고 달콤한 소리지만 당신은 그것의 출처가 악마임을 어렴풋이 느낀다.
악마의 꼬드김에 넘어간 사람들의 결말은 뻔하다. 저항하자!",아니다 이 악마야!,경건함 60 이상,100%,"나의 능력을 조심하라, 솔라 랜턴 빛!
머리에서 나온 찬란한 광휘에 악마는 저항도 못하고 스러졌다.

체력 100 증가!",체력 + 100,,,"흠, 듣고 보니 맞는 말이군. 반박할 수가 없다.",100%,"역사는 반복되고 사람은 끊임없이 멍청한 짓을 한다.

체력 20 감소!
이번 썬ㅡ클라베 동안 이동 속도 30% 감소!","체력 - 20
콘클라베 종료까지 이동 속도 - 30%",,,,,,,
50500,36,공작,20,,,,,이 불경한 자가,"(후보 n)이(가) 당신의 경전 해석 방식에 심대하고도 지대하며 말로 이루 표현할 수 없는 심각한 문제가 있음을 지적했다.
그게 무슨 강아지 풀 뜯어먹는 소리냐고 대꾸하기도 전에....",깡!,-,100%,"불과 5분만에 이단 신문의 모든 과정이 전개됐다.
혀를 내두를만한 진행 속도다. 그 대상이 당신만 아니었다면 말이다!

체력 40 감소!",체력 - 40,,,,,,,,,,,,,
50600,37,공작,0.1P,,,,,결코 다시 전쟁!,"연단에서 누군가가 오늘도! 또! 어김없이!
전쟁을 들먹이며 과격한 정치구호를 외치고 있다!
이번에는 또 어떤 이단하고 싸우자는 걸까?

뭐? 나라고?
도저히 참을 수 없다!",성전이다!,-,100%,"너 죽고 나 죽자!
내가 오늘 성전의 맛을 똑똑히 보여주겠다.

모든 후보의 정치력 40 증가!
이번 썬ㅡ클라베 동안 체력이 0으로 떨어지지 않음!","모든 후보의 정치력 +40
이번 콘클라베 동안 최소 체력 1 유지",,,우매한 이단들아!,,"어디다 대고 신성한 대신전에서 삿대질이야!
아예 뼈다귀도 못 추리게 해 주마.

이번 썬ㅡ클라베 동안 공작이 경건함을 소모하지 않음!
이번 썬ㅡ클라베 동안 체력이 0으로 떨어지지 않음!","이번 콘클라베 동안 공작 경건함 소모량 0으로 고정
이번 콘클라베 동안 최소 체력 1 유지",,,,,,소모량고정구현x,
